S. No,"Country",Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M pop,Population,Nationality Factor = Tot case/Popu
0,World,"78,01,450","4,29,964","40,02,946","33,68,540","1,001","7,80,00,00,000",0.001576923
1,USA,"21,26,743","1,17,039","8,42,921","11,66,783","6,427","33,09,06,997",0.0064
2,Brazil,"8,31,064","41,952","4,27,610","3,61,502","3,911","21,24,83,982",0.0039
3,Russia,"5,20,129","6,829","2,74,641","2,38,659","3,564","14,59,31,552",0.0036
4,India,"3,17,368","9,109","1,59,597","1,48,662",230,"1,37,93,07,780",0.0002
5,UK,"2,94,375","41,662",N/A,N/A,"4,337","6,78,68,549",0.0043
6,Spain,"2,90,289","27,136",N/A,N/A,"6,209","4,67,53,936",0.0062
7,Italy,"2,36,651","34,301","1,74,865","27,485","3,914","6,04,65,875",0.0039
8,Peru,"2,20,749","6,308","1,07,133","1,07,308","6,700","3,29,47,280",0.0067
9,Germany,"1,87,324","8,863","1,71,900","6,561","2,236","8,37,71,107",0.0022
10,Iran,"1,84,955","8,730","1,46,748","29,477","2,204","8,39,36,074",0.0022
11,Turkey,"1,75,218","4,778","1,49,102","21,338","2,079","8,42,92,030",0.0021
12,Chile,"1,67,355","3,101","1,37,296","26,958","8,758","1,91,07,883",0.0088
13,France,"1,56,287","29,374","72,572","54,341","2,395","6,52,66,664",0.0239
14,Mexico,"1,39,196","16,448","1,01,767","20,981","1,080","12,88,62,724",0.0011
15,Pakistan,"1,32,405","2,551","50,056","79,798",600,"22,06,50,245",0.0006
16,Saudi Arabia,"1,23,308",932,"82,548","39,828","3,545","3,47,84,389",0.0035
17,Canada,"98,368","8,105","59,333","30,930","2,607","3,77,25,348",0.0026
18,Bangladesh,"84,379","1,139","17,827","65,413",513,"16,46,05,029",0.0005
19,China,"83,075","4,634","78,367",74,58,"1,43,93,23,776",0.0001
20,Qatar,"78,416",70,"55,252","23,094","27,928","28,07,805",0.0279
21,South Africa,"61,927","1,354","35,006","25,567","1,045","5,92,69,206",0.001
22,Belgium,"59,918","9,650","16,547","33,721","5,171","1,15,87,177",0.0052
23,Belarus,"53,241",303,"29,111","23,827","5,634","94,49,466",0.0056
24,Sweden,"50,931","4,874",N/A,N/A,"5,045","1,00,96,150",0.005
25,Netherlands,"48,640","6,057",N/A,N/A,"2,839","1,71,33,075",0.0028
26,Colombia,"46,858","1,545","18,715","26,598",921,"5,08,54,810",0.0009
27,Ecuador,"45,778","3,828","22,679","19,271","2,597","1,76,28,541",0.0026
28,UAE,"41,990",288,"26,761","14,941","4,248","98,84,125",0.0042
29,Egypt,"41,303","1,422","11,108","28,773",404,"10,22,26,041",0.0004
30,Singapore,"40,197",25,"28,808","11,364","6,874","58,48,027",0.0069
31,Indonesia,"37,420","2,091","13,776","21,553",137,"27,33,73,988",0.0001
32,Portugal,"36,463","1,512","22,438","12,513","3,575","1,01,98,041",0.0036
33,Kuwait,"35,466",289,"25,882","9,295","8,311","42,67,163",0.0083
34,Switzerland,"31,094","1,938","28,800",356,"3,594","86,51,455",0.0036
35,Ukraine,"30,506",880,"13,976","15,650",697,"4,37,45,133",0.0007
36,Poland,"29,017","1,237","14,104","13,676",767,"3,78,48,507",0.0008
37,Argentina,"28,764",802,"9,083","18,879",637,"4,51,74,623",0.0006
38,Philippines,"25,392","1,074","5,706","18,612",232,"10,95,03,524",0.0002
39,Ireland,"25,250","1,705","22,698",847,"5,117","49,34,915",0.0051
40,Afghanistan,"24,102",451,"4,201","19,450",620,"3,88,77,379",0.0006
41,Dominican Republic,"22,572",577,"13,084","8,911","2,082","1,08,42,314",0.0024
42,Oman,"22,077",99,"7,530","14,448","4,330","50,98,867",0.0043
43,Romania,"21,679","1,394","15,635","4,650","1,127","1,92,43,203",0.0011
44,Panama,"19,211",421,"13,759","5,031","4,456","43,11,067",0.0045
45,Iraq,"18,950",549,"7,515","10,886",472,"4,01,70,062",0.0005
46,Israel,"18,876",300,"15,319","3,257","2,052","91,97,590",0.002
47,Bahrain,"17,713",37,"12,191","5,485","10,433","16,97,730",0.0104
48,Japan,"17,332",922,"15,493",917,137,"12,64,93,785",0.0001
49,Austria,"17,078",677,"16,012",389,"1,897","90,03,870",0.0019
50,Bolivia,"16,929",559,"2,431","13,939","1,451","1,16,64,526",0.0015
51,Armenia,"16,004",264,"6,081","9,659","5,401","29,62,981",0.0054
52,Nigeria,"15,181",399,"4,891","9,891",74,"20,58,36,204",0.0001
53,Kazakhstan,"14,238",73,"8,829","5,336",759,"1,87,64,924",0.0008
54,Serbia,"12,251",253,"11,348",650,"1,402","87,38,929",0.0014
55,Denmark,"12,139",597,"11,035",507,"2,096","57,91,221",0.0021
56,S. Korea,"12,051",277,"10,691","1,083",235,"5,12,67,124",0.0002
57,Moldova,"11,459",398,"6,421","4,640","2,840","40,34,386",0.0028
58,Ghana,"11,118",48,"3,979","7,091",358,"3,10,35,817",0.0004
